Camera,Timestamp,Year,Month,Total Offenses,Total Unique Offenders,New Offenders This Month,Repeat Offenders,Repeat Offenders Within The Year,Repeat Offenders Within Past 6 Months,Repeat Offenders Within The Month
19 W CHICAGO AVE,25,2016,11,687,664,18,4,3,2,0
19 W CHICAGO AVE,26,2016,12,696,673,9,0,0,0,0
19 W CHICAGO AVE,27,2017,1,705,682,9,0,0,0,0
19 W CHICAGO AVE,28,2017,2,717,693,11,1,1,0,0
19 W CHICAGO AVE,29,2017,3,735,710,17,1,1,1,1
19 W CHICAGO AVE,30,2017,4,756,731,21,0,0,0,0
19 W CHICAGO AVE,31,2017,5,784,759,28,0,0,0,0
19 W CHICAGO AVE,32,2017,6,789,764,5,0,0,0,0
19 W CHICAGO AVE,32,2017,7,789,764,0,0,0,0,0
19 W CHICAGO AVE,32,2017,8,789,764,0,0,0,0,0
19 W CHICAGO AVE,33,2017,9,802,777,13,0,0,0,0
19 W CHICAGO AVE,34,2017,10,811,786,9,0,0,0,0
19 W CHICAGO AVE,35,2017,11,816,790,4,1,1,0,0
19 W CHICAGO AVE,36,2017,12,831,805,15,0,0,0,0
19 W CHICAGO AVE,37,2018,1,881,854,49,1,1,1,1
19 W CHICAGO AVE,38,2018,2,953,921,67,5,2,1,0
19 W CHICAGO AVE,39,2018,3,999,967,46,0,0,0,0
19 W CHICAGO AVE,40,2018,4,1044,1010,43,2,2,2,1
19 W CHICAGO AVE,40,2018,5,1044,1010,0,0,0,0,0
1901 E 75TH ST,1,2014,6,451,406,406,45,45,45,45
1901 E 75TH ST,2,2014,7,1362,1114,708,203,203,203,133
1901 E 75TH ST,3,2014,8,1859,1496,382,115,115,115,33
1901 E 75TH ST,4,2014,9,1939,1555,59,21,21,21,3
1901 E 75TH ST,5,2014,10,2064,1660,105,20,20,20,2
1901 E 75TH ST,6,2014,11,2217,1785,125,28,28,28,3
1901 E 75TH ST,7,2014,12,2456,1993,208,31,31,31,7
1901 E 75TH ST,8,2015,1,2680,2176,183,41,41,39,7
1901 E 75TH ST,9,2015,2,2863,2322,146,37,37,26,7
1901 E 75TH ST,10,2015,3,3077,2500,178,36,36,32,7
1901 E 75TH ST,11,2015,4,3313,2690,190,46,46,40,12
1901 E 75TH ST,12,2015,5,3526,2857,167,46,46,35,7
1901 E 75TH ST,13,2015,6,3751,3042,185,40,40,29,9
1901 E 75TH ST,14,2015,7,4077,3292,250,76,75,56,16
1901 E 75TH ST,15,2015,8,4400,3551,259,64,60,54,8
1901 E 75TH ST,16,2015,9,4661,3747,196,65,61,57,12
1901 E 75TH ST,17,2015,10,4949,3972,225,63,55,47,13
1901 E 75TH ST,18,2015,11,5221,4199,227,45,41,37,7
1901 E 75TH ST,19,2015,12,5485,4407,208,56,52,46,7
1901 E 75TH ST,20,2016,1,5730,4596,189,56,51,43,13
1901 E 75TH ST,21,2016,2,5957,4780,184,43,39,35,7
1901 E 75TH ST,22,2016,3,6157,4942,162,38,33,29,10
1901 E 75TH ST,23,2016,4,6388,5121,179,52,49,40,5
1901 E 75TH ST,24,2016,5,6656,5338,217,51,48,38,10
1901 E 75TH ST,25,2016,6,6871,5511,173,42,36,29,7
1901 E 75TH ST,26,2016,7,7124,5706,195,58,52,43,16
1901 E 75TH ST,27,2016,8,7337,5861,155,58,51,37,7
1901 E 75TH ST,28,2016,9,7610,6069,208,65,52,44,10
1901 E 75TH ST,29,2016,10,8503,6761,692,201,180,150,65
1901 E 75TH ST,30,2016,11,9341,7389,628,210,185,167,44
1901 E 75TH ST,31,2016,12,9998,7876,487,170,148,135,30
1901 E 75TH ST,32,2017,1,10666,8359,483,185,164,153,36
1901 E 75TH ST,33,2017,2,11322,8824,465,191,172,162,39
1901 E 75TH ST,34,2017,3,11965,9309,485,158,144,126,31
1901 E 75TH ST,35,2017,4,12634,9789,480,189,171,165,32
1901 E 75TH ST,36,2017,5,13210,10214,425,151,137,123,28
1901 E 75TH ST,37,2017,6,13855,10694,480,165,153,135,36
1901 E 75TH ST,38,2017,7,14631,11243,549,227,211,189,52
1901 E 75TH ST,39,2017,8,15232,11671,428,173,159,140,34
1901 E 75TH ST,40,2017,9,15691,11973,302,157,143,126,23
1901 E 75TH ST,41,2017,10,16235,12360,387,157,141,117,19
1901 E 75TH ST,42,2017,11,16733,12707,347,151,130,112,18
1901 E 75TH ST,43,2017,12,17308,13099,392,183,164,132,29
1901 E 75TH ST,44,2018,1,17814,13464,365,141,128,106,20
1901 E 75TH ST,45,2018,2,18122,13677,213,95,82,66,3
1901 E 75TH ST,46,2018,3,18688,14100,423,143,126,106,18
1901 E 75TH ST,47,2018,4,19112,14412,312,112,99,86,14
1901 E 75TH ST,47,2018,5,19112,14412,0,0,0,0,0
2080 W PERSHING,1,2013,10,144,128,128,16,16,16,16
2080 W PERSHING,2,2013,11,975,806,678,153,153,153,110
2080 W PERSHING,3,2013,12,1561,1274,468,118,118,118,44
2080 W PERSHING,4,2014,1,1868,1534,260,47,47,47,13
2080 W PERSHING,5,2014,2,2168,1774,240,60,60,60,17
2080 W PERSHING,6,2014,3,2482,2040,266,48,48,48,13
2080 W PERSHING,7,2014,4,2848,2355,315,51,51,51,13
2080 W PERSHING,8,2014,5,3320,2743,388,84,84,84,31
2080 W PERSHING,9,2014,6,3774,3129,386,68,68,59,22
2080 W PERSHING,10,2014,7,4400,3681,552,74,74,65,31
2080 W PERSHING,11,2014,8,4898,4105,424,74,74,69,18
2080 W PERSHING,12,2014,9,5248,4404,299,51,51,45,5
2080 W PERSHING,13,2014,10,5543,4663,259,36,36,31,9
2080 W PERSHING,14,2014,11,5766,4856,193,30,30,24,3
2080 W PERSHING,15,2014,12,6053,5113,257,30,28,23,7
2080 W PERSHING,16,2015,1,6252,5287,174,25,22,16,4
2080 W PERSHING,17,2015,2,6430,5444,157,21,20,12,2
2080 W PERSHING,18,2015,3,6654,5642,198,26,23,14,4
2080 W PERSHING,19,2015,4,6846,5807,165,27,25,18,6
2080 W PERSHING,20,2015,5,7004,5947,140,18,15,15,5
2080 W PERSHING,21,2015,6,7103,6041,94,5,3,1,1
2080 W PERSHING,22,2015,7,7245,6172,131,11,8,7,4
2080 W PERSHING,23,2015,8,7391,6299,127,19,15,13,7
2080 W PERSHING,24,2015,9,7533,6429,130,12,11,9,5
2080 W PERSHING,25,2015,10,7719,6601,172,14,13,10,2
2080 W PERSHING,26,2015,11,7900,6754,153,28,20,15,4
2080 W PERSHING,27,2015,12,8040,6881,127,13,9,6,2
2080 W PERSHING,28,2016,1,8222,7044,163,19,16,16,10
2080 W PERSHING,29,2016,2,8377,7177,133,22,20,16,2
2080 W PERSHING,30,2016,3,8531,7317,140,14,12,9,3
2080 W PERSHING,31,2016,4,8708,7477,160,17,11,9,1
2080 W PERSHING,32,2016,5,8910,7652,175,27,23,23,13
2080 W PERSHING,33,2016,6,9065,7775,123,32,29,24,5
2080 W PERSHING,34,2016,7,9158,7861,86,7,5,5,4
2080 W PERSHING,35,2016,8,9300,7984,123,19,18,14,9
2080 W PERSHING,36,2016,9,9457,8127,143,14,12,11,4
2080 W PERSHING,37,2016,10,9626,8266,139,30,27,25,7
2080 W PERSHING,38,2016,11,9870,8487,221,23,17,14,3
2080 W PERSHING,39,2016,12,10068,8657,170,28,20,16,7
2080 W PERSHING,40,2017,1,10217,8786,129,20,16,13,1
2080 W PERSHING,41,2017,2,10414,8961,175,22,17,14,5
2080 W PERSHING,42,2017,3,10580,9105,144,22,16,14,4
2080 W PERSHING,43,2017,4,10763,9264,159,24,18,15,3
2080 W PERSHING,44,2017,5,10972,9452,188,21,19,16,4
2080 W PERSHING,45,2017,6,11140,9611,159,9,4,4,3
2080 W PERSHING,46,2017,7,11312,9751,140,32,25,20,12
2080 W PERSHING,47,2017,8,11504,9924,173,19,12,10,3
2080 W PERSHING,48,2017,9,11686,10081,157,25,20,18,7
2080 W PERSHING,49,2017,10,11892,10253,172,34,30,26,7
2080 W PERSHING,50,2017,11,12082,10420,167,23,18,15,4
2080 W PERSHING,51,2017,12,12268,10582,162,24,19,16,3
2080 W PERSHING,52,2018,1,12390,10692,110,12,10,8,1
2080 W PERSHING,53,2018,2,12471,10762,70,11,9,6,1
2080 W PERSHING,54,2018,3,12594,10871,109,14,11,8,4
2080 W PERSHING,55,2018,4,12732,10991,120,18,16,15,1
2080 W PERSHING,55,2018,5,12732,10991,0,0,0,0,0
2108 S WESTERN AVE,1,2014,6,28,27,27,1,1,1,1
2108 S WESTERN AVE,1,2014,7,28,27,0,0,0,0,0
2108 S WESTERN AVE,1,2014,8,28,27,0,0,0,0,0
2108 S WESTERN AVE,2,2014,9,126,122,95,3,3,3,1
2108 S WESTERN AVE,3,2014,10,176,172,50,0,0,0,0
2108 S WESTERN AVE,4,2014,11,221,217,45,0,0,0,0
2108 S WESTERN AVE,5,2014,12,275,268,51,3,3,3,1
2108 S WESTERN AVE,6,2015,1,321,312,44,2,2,2,0
2108 S WESTERN AVE,7,2015,2,373,362,50,2,2,2,0
2108 S WESTERN AVE,8,2015,3,445,430,68,4,4,4,1
2108 S WESTERN AVE,9,2015,4,541,521,91,5,5,5,1
2108 S WESTERN AVE,10,2015,5,632,605,84,7,7,7,2
2108 S WESTERN AVE,11,2015,6,680,647,42,6,6,6,2
2108 S WESTERN AVE,11,2015,7,680,647,0,0,0,0,0
2108 S WESTERN AVE,11,2015,8,680,647,0,0,0,0,0
2108 S WESTERN AVE,12,2015,9,743,707,60,3,3,3,2
2108 S WESTERN AVE,13,2015,10,901,855,148,10,10,10,4
2108 S WESTERN AVE,14,2015,11,929,880,25,3,3,3,2
2108 S WESTERN AVE,15,2015,12,961,910,30,2,2,1,0
2108 S WESTERN AVE,16,2016,1,1015,961,51,3,3,3,1
2108 S WESTERN AVE,17,2016,2,1056,1001,40,1,1,0,0
2108 S WESTERN AVE,18,2016,3,1113,1056,55,2,2,1,0
2108 S WESTERN AVE,19,2016,4,1152,1091,35,4,4,4,1
2108 S WESTERN AVE,20,2016,5,1227,1162,71,4,4,4,1
2108 S WESTERN AVE,21,2016,6,1308,1236,74,7,5,4,1
2108 S WESTERN AVE,21,2016,7,1308,1236,0,0,0,0,0
2108 S WESTERN AVE,21,2016,8,1308,1236,0,0,0,0,0
2108 S WESTERN AVE,22,2016,9,1369,1293,57,4,4,4,3
2108 S WESTERN AVE,23,2016,10,1443,1362,69,5,5,5,1
2108 S WESTERN AVE,24,2016,11,1514,1428,66,5,4,4,0
2108 S WESTERN AVE,25,2016,12,1573,1479,51,8,7,6,2
2108 S WESTERN AVE,26,2017,1,1609,1510,31,5,5,5,0
2108 S WESTERN AVE,27,2017,2,1658,1559,49,0,0,0,0
2108 S WESTERN AVE,28,2017,3,1709,1609,50,1,1,1,1
2108 S WESTERN AVE,29,2017,4,1737,1634,25,3,3,1,0
2108 S WESTERN AVE,30,2017,5,1792,1679,45,10,10,8,5
2108 S WESTERN AVE,31,2017,6,1843,1724,45,6,4,2,0
2108 S WESTERN AVE,31,2017,7,1843,1724,0,0,0,0,0
2108 S WESTERN AVE,31,2017,8,1843,1724,0,0,0,0,0
2108 S WESTERN AVE,32,2017,9,1925,1800,76,6,5,4,2
2108 S WESTERN AVE,33,2017,10,1961,1834,34,2,2,2,0
2108 S WESTERN AVE,34,2017,11,1992,1864,30,1,0,0,0
2108 S WESTERN AVE,35,2017,12,2025,1894,30,3,1,1,0
2108 S WESTERN AVE,36,2018,1,2047,1916,22,0,0,0,0
2108 S WESTERN AVE,37,2018,2,2062,1931,15,0,0,0,0
2108 S WESTERN AVE,38,2018,3,2086,1953,22,2,2,2,0
2108 S WESTERN AVE,39,2018,4,2177,2035,82,9,8,7,5
2108 S WESTERN AVE,39,2018,5,2177,2035,0,0,0,0,0
2109 E 87TH ST,1,2014,11,275,263,263,12,12,12,12
2109 E 87TH ST,2,2014,12,488,458,195,18,18,18,4
2109 E 87TH ST,3,2015,1,736,679,221,27,27,27,10
2109 E 87TH ST,4,2015,2,876,801,122,18,18,18,3
2109 E 87TH ST,5,2015,3,1204,1103,302,26,26,26,6
2109 E 87TH ST,6,2015,4,1464,1334,231,29,29,29,7
2109 E 87TH ST,7,2015,5,1781,1608,274,43,43,43,11
2109 E 87TH ST,8,2015,6,2035,1823,215,39,39,36,11
2109 E 87TH ST,8,2015,7,2035,1823,0,0,0,0,0
2109 E 87TH ST,8,2015,8,2035,1823,0,0,0,0,0
2109 E 87TH ST,9,2015,9,2288,2042,219,34,34,31,16
2109 E 87TH ST,10,2015,10,2634,2341,299,47,47,43,10
2109 E 87TH ST,11,2015,11,2798,2491,150,14,14,13,4
2109 E 87TH ST,12,2015,12,2933,2612,121,14,14,11,1
2109 E 87TH ST,13,2016,1,3069,2732,120,16,16,11,3
2109 E 87TH ST,14,2016,2,3255,2899,167,19,19,16,6
2109 E 87TH ST,15,2016,3,3405,3030,131,19,18,15,6
2109 E 87TH ST,16,2016,4,3563,3167,137,21,20,16,6
2109 E 87TH ST,17,2016,5,3884,3444,277,44,43,34,13
2109 E 87TH ST,18,2016,6,4162,3695,251,27,25,23,6
2109 E 87TH ST,19,2016,7,4741,4165,470,109,94,85,51
2109 E 87TH ST,20,2016,8,4866,4271,106,19,16,16,4
2109 E 87TH ST,21,2016,9,5126,4499,228,32,31,21,6
2109 E 87TH ST,22,2016,10,5372,4702,203,43,38,33,7
2109 E 87TH ST,23,2016,11,5579,4868,166,41,39,36,2
2109 E 87TH ST,24,2016,12,5725,4990,122,24,20,15,4
2109 E 87TH ST,25,2017,1,5821,5072,82,14,13,10,1
2109 E 87TH ST,26,2017,2,5987,5213,141,25,22,17,7
2109 E 87TH ST,27,2017,3,6185,5380,167,31,26,22,6
2109 E 87TH ST,28,2017,4,6318,5498,118,15,14,12,2
2109 E 87TH ST,29,2017,5,6601,5743,245,38,34,19,8
2109 E 87TH ST,30,2017,6,6875,5987,244,30,26,21,8
2109 E 87TH ST,31,2017,7,7295,6340,353,67,52,41,19
2109 E 87TH ST,32,2017,8,7351,6385,45,11,9,9,0
2109 E 87TH ST,33,2017,9,7757,6716,331,75,63,57,29
2109 E 87TH ST,34,2017,10,8192,7051,335,100,84,74,22
2109 E 87TH ST,35,2017,11,8491,7283,232,67,60,52,4
2109 E 87TH ST,36,2017,12,8757,7499,216,50,40,33,9
2109 E 87TH ST,37,2018,1,8991,7698,199,35,30,30,9
2109 E 87TH ST,38,2018,2,9200,7871,173,36,30,27,4
2109 E 87TH ST,39,2018,3,9473,8097,226,47,44,41,11
2109 E 87TH ST,40,2018,4,9811,8367,270,68,59,51,12
2109 E 87TH ST,41,2018,5,9813,8369,2,0,0,0,0
2115 S WESTERN AVE,1,2014,6,16,16,16,0,0,0,0
2115 S WESTERN AVE,1,2014,7,16,16,0,0,0,0,0
2115 S WESTERN AVE,1,2014,8,16,16,0,0,0,0,0
2115 S WESTERN AVE,2,2014,9,70,70,54,0,0,0,0
2115 S WESTERN AVE,3,2014,10,132,131,61,1,1,1,0
2115 S WESTERN AVE,4,2014,11,184,181,50,2,2,2,1
2115 S WESTERN AVE,5,2014,12,231,228,47,0,0,0,0
2115 S WESTERN AVE,6,2015,1,288,284,56,1,1,1,0
2115 S WESTERN AVE,7,2015,2,346,340,56,2,2,2,1
2115 S WESTERN AVE,8,2015,3,453,440,100,7,7,7,2
2115 S WESTERN AVE,9,2015,4,546,527,87,6,6,6,2
2115 S WESTERN AVE,10,2015,5,747,716,189,12,12,12,4
2115 S WESTERN AVE,11,2015,6,863,822,106,10,10,9,2
2115 S WESTERN AVE,11,2015,7,863,822,0,0,0,0,0
2115 S WESTERN AVE,11,2015,8,863,822,0,0,0,0,0
2115 S WESTERN AVE,12,2015,9,950,906,84,3,3,3,0
2115 S WESTERN AVE,13,2015,10,1086,1037,131,5,5,5,3
2115 S WESTERN AVE,14,2015,11,1138,1087,50,2,2,2,0
2115 S WESTERN AVE,15,2015,12,1239,1180,93,8,8,6,2
2115 S WESTERN AVE,16,2016,1,1362,1292,112,11,11,10,3
2115 S WESTERN AVE,17,2016,2,1506,1420,128,16,16,16,5
2115 S WESTERN AVE,18,2016,3,1669,1571,151,12,12,9,3
2115 S WESTERN AVE,19,2016,4,1787,1685,114,4,4,4,0
2115 S WESTERN AVE,20,2016,5,1968,1842,157,24,23,20,3
2115 S WESTERN AVE,21,2016,6,2114,1974,132,14,12,9,2
2115 S WESTERN AVE,21,2016,7,2114,1974,0,0,0,0,0
2115 S WESTERN AVE,21,2016,8,2114,1974,0,0,0,0,0
2115 S WESTERN AVE,22,2016,9,2251,2100,126,11,11,7,4
2115 S WESTERN AVE,23,2016,10,2394,2230,130,13,12,11,1
2115 S WESTERN AVE,24,2016,11,2518,2341,111,13,11,10,2
2115 S WESTERN AVE,25,2016,12,2612,2423,82,12,12,8,1
2115 S WESTERN AVE,26,2017,1,2696,2498,75,9,8,8,2
2115 S WESTERN AVE,27,2017,2,2824,2614,116,12,12,10,1
2115 S WESTERN AVE,28,2017,3,2932,2706,92,16,15,14,3
2115 S WESTERN AVE,29,2017,4,3012,2771,65,15,14,11,2
2115 S WESTERN AVE,30,2017,5,3137,2883,112,13,9,7,0
2115 S WESTERN AVE,31,2017,6,3252,2977,94,21,19,19,3
2115 S WESTERN AVE,31,2017,7,3252,2977,0,0,0,0,0
2115 S WESTERN AVE,31,2017,8,3252,2977,0,0,0,0,0
2115 S WESTERN AVE,32,2017,9,3402,3109,132,18,18,11,3
2115 S WESTERN AVE,33,2017,10,3482,3182,73,7,4,4,1
2115 S WESTERN AVE,34,2017,11,3524,3218,36,6,5,5,0
2115 S WESTERN AVE,35,2017,12,3564,3256,38,2,2,2,0
2115 S WESTERN AVE,36,2018,1,3617,3302,46,7,6,4,1
2115 S WESTERN AVE,37,2018,2,3648,3329,27,4,3,2,0
2115 S WESTERN AVE,38,2018,3,3690,3367,38,4,3,2,0
2115 S WESTERN AVE,39,2018,4,3786,3454,87,9,6,2,2
2115 S WESTERN AVE,39,2018,5,3786,3454,0,0,0,0,0
215 E 63RD ST,1,2014,11,607,580,580,27,27,27,27
215 E 63RD ST,2,2014,12,1284,1185,605,72,72,72,27
215 E 63RD ST,3,2015,1,1928,1751,566,78,78,78,24
215 E 63RD ST,4,2015,2,2485,2240,489,68,68,68,21
215 E 63RD ST,5,2015,3,3492,3111,871,136,136,136,38
215 E 63RD ST,6,2015,4,4246,3738,627,127,127,127,28
215 E 63RD ST,7,2015,5,5365,4668,930,189,189,189,54
215 E 63RD ST,8,2015,6,6251,5398,730,156,156,153,32
215 E 63RD ST,8,2015,7,6251,5398,0,0,0,0,0
215 E 63RD ST,8,2015,8,6251,5398,0,0,0,0,0
215 E 63RD ST,9,2015,9,7795,6660,1262,282,282,267,146
215 E 63RD ST,10,2015,10,9618,8011,1351,472,472,451,105
215 E 63RD ST,11,2015,11,10614,8773,762,234,234,217,28
215 E 63RD ST,12,2015,12,11492,9464,691,187,187,171,34
215 E 63RD ST,13,2016,1,12594,10319,855,247,247,212,47
215 E 63RD ST,14,2016,2,13632,11129,810,228,226,197,47
215 E 63RD ST,15,2016,3,14636,11922,793,211,206,177,35
215 E 63RD ST,16,2016,4,15168,12334,412,120,116,101,18
215 E 63RD ST,17,2016,5,15857,12865,531,158,148,122,31
215 E 63RD ST,18,2016,6,16143,13097,232,54,53,39,2
215 E 63RD ST,18,2016,7,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2016,8,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2016,9,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2016,10,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2016,11,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2016,12,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2017,1,16143,13097,0,0,0,0,0
215 E 63RD ST,18,2017,2,16143,13097,0,0,0,0,0
215 E 63RD ST,19,2017,3,17132,13938,841,148,134,110,68
215 E 63RD ST,20,2017,4,17896,14553,615,149,139,113,34
215 E 63RD ST,21,2017,5,18876,15325,772,208,190,157,42
215 E 63RD ST,22,2017,6,19657,15934,609,172,160,130,34
215 E 63RD ST,22,2017,7,19657,15934,0,0,0,0,0
215 E 63RD ST,22,2017,8,19657,15934,0,0,0,0,0
215 E 63RD ST,23,2017,9,20996,17025,1091,248,216,182,67
215 E 63RD ST,24,2017,10,22447,18153,1128,323,295,254,70
215 E 63RD ST,25,2017,11,23531,18960,807,277,245,224,43
215 E 63RD ST,26,2017,12,24898,19979,1019,348,313,289,60
215 E 63RD ST,27,2018,1,25951,20727,748,305,274,256,38
215 E 63RD ST,28,2018,2,26880,21424,697,232,207,186,30
215 E 63RD ST,29,2018,3,27931,22236,812,239,216,199,47
215 E 63RD ST,30,2018,4,29030,23043,807,292,271,232,59
215 E 63RD ST,31,2018,5,29033,23046,3,0,0,0,0
2326 W CERMAK RD,1,2014,4,5,5,5,0,0,0,0
2326 W CERMAK RD,2,2014,5,44,44,39,0,0,0,0
2326 W CERMAK RD,3,2014,6,52,52,8,0,0,0,0
2326 W CERMAK RD,3,2014,7,52,52,0,0,0,0,0
2326 W CERMAK RD,3,2014,8,52,52,0,0,0,0,0
2326 W CERMAK RD,4,2014,9,86,85,33,1,1,1,1
2326 W CERMAK RD,5,2014,10,111,110,25,0,0,0,0
2326 W CERMAK RD,6,2014,11,118,117,7,0,0,0,0
2326 W CERMAK RD,7,2014,12,127,126,9,0,0,0,0
2326 W CERMAK RD,8,2015,1,136,134,8,1,1,1,0
2326 W CERMAK RD,9,2015,2,140,138,4,0,0,0,0
2326 W CERMAK RD,10,2015,3,146,143,5,1,1,1,0
2326 W CERMAK RD,11,2015,4,151,147,4,1,1,1,0
2326 W CERMAK RD,12,2015,5,172,168,21,0,0,0,0
2326 W CERMAK RD,13,2015,6,194,189,21,1,1,1,1
2326 W CERMAK RD,14,2015,7,246,240,51,1,1,1,1
2326 W CERMAK RD,14,2015,8,246,240,0,0,0,0,0
2326 W CERMAK RD,15,2015,9,290,284,44,0,0,0,0
2326 W CERMAK RD,16,2015,10,323,316,32,1,1,1,0
2326 W CERMAK RD,17,2015,11,332,325,9,0,0,0,0
2326 W CERMAK RD,18,2015,12,336,329,4,0,0,0,0
2326 W CERMAK RD,19,2016,1,338,331,2,0,0,0,0
2326 W CERMAK RD,20,2016,2,343,336,5,0,0,0,0
2326 W CERMAK RD,21,2016,3,351,344,8,0,0,0,0
2326 W CERMAK RD,22,2016,4,357,350,6,0,0,0,0
2326 W CERMAK RD,23,2016,5,364,357,7,0,0,0,0
2326 W CERMAK RD,24,2016,6,368,361,4,0,0,0,0
2326 W CERMAK RD,24,2016,7,368,361,0,0,0,0,0
2326 W CERMAK RD,24,2016,8,368,361,0,0,0,0,0
2326 W CERMAK RD,25,2016,9,373,366,5,0,0,0,0
2326 W CERMAK RD,26,2016,10,378,371,5,0,0,0,0
2326 W CERMAK RD,27,2016,11,382,375,4,0,0,0,0
2326 W CERMAK RD,28,2016,12,384,377,2,0,0,0,0
2326 W CERMAK RD,29,2017,1,390,383,6,0,0,0,0
2326 W CERMAK RD,30,2017,2,394,387,4,0,0,0,0
2326 W CERMAK RD,31,2017,3,399,392,5,0,0,0,0
2326 W CERMAK RD,32,2017,4,410,402,10,1,1,1,1
2326 W CERMAK RD,33,2017,5,422,414,12,0,0,0,0
2326 W CERMAK RD,34,2017,6,426,418,4,0,0,0,0
2326 W CERMAK RD,34,2017,7,426,418,0,0,0,0,0
2326 W CERMAK RD,34,2017,8,426,418,0,0,0,0,0
2326 W CERMAK RD,35,2017,9,439,430,12,1,0,0,0
2326 W CERMAK RD,36,2017,10,447,438,8,0,0,0,0
2326 W CERMAK RD,37,2017,11,453,444,6,0,0,0,0
2326 W CERMAK RD,38,2017,12,457,448,4,0,0,0,0
2326 W CERMAK RD,39,2018,1,462,453,5,0,0,0,0
2326 W CERMAK RD,40,2018,2,464,455,2,0,0,0,0
2326 W CERMAK RD,41,2018,3,473,464,9,0,0,0,0
2326 W CERMAK RD,42,2018,4,487,478,14,0,0,0,0
2326 W CERMAK RD,42,2018,5,487,478,0,0,0,0,0
2329 W DIVISION ST,1,2014,4,121,118,118,3,3,3,3
2329 W DIVISION ST,2,2014,5,312,303,185,6,6,6,5
2329 W DIVISION ST,3,2014,6,368,358,55,1,1,1,0
2329 W DIVISION ST,3,2014,7,368,358,0,0,0,0,0
2329 W DIVISION ST,3,2014,8,368,358,0,0,0,0,0
2329 W DIVISION ST,4,2014,9,433,419,61,4,4,4,1
2329 W DIVISION ST,5,2014,10,552,536,117,2,2,2,0
2329 W DIVISION ST,6,2014,11,675,654,118,5,5,5,1
2329 W DIVISION ST,7,2014,12,758,735,81,2,2,2,0
2329 W DIVISION ST,8,2015,1,842,817,82,2,2,2,0
2329 W DIVISION ST,9,2015,2,929,899,82,5,5,4,1
2329 W DIVISION ST,10,2015,3,1086,1045,146,11,11,10,3
2329 W DIVISION ST,11,2015,4,1223,1176,131,6,6,4,0
2329 W DIVISION ST,12,2015,5,1363,1311,135,5,5,5,1
2329 W DIVISION ST,13,2015,6,1473,1417,106,4,4,3,2
2329 W DIVISION ST,13,2015,7,1473,1417,0,0,0,0,0
2329 W DIVISION ST,13,2015,8,1473,1417,0,0,0,0,0
2329 W DIVISION ST,14,2015,9,1621,1558,141,7,7,5,1
2329 W DIVISION ST,15,2015,10,1769,1699,141,7,7,7,0
2329 W DIVISION ST,16,2015,11,1847,1771,72,6,6,3,0
2329 W DIVISION ST,17,2015,12,1895,1817,46,2,2,1,0
2329 W DIVISION ST,18,2016,1,1956,1875,58,3,3,2,0
2329 W DIVISION ST,19,2016,2,2019,1936,61,2,2,0,0
2329 W DIVISION ST,20,2016,3,2103,2014,78,6,4,3,0
2329 W DIVISION ST,21,2016,4,2153,2061,47,3,2,2,1
2329 W DIVISION ST,22,2016,5,2206,2111,50,3,2,1,0
2329 W DIVISION ST,23,2016,6,2256,2161,50,0,0,0,0
2329 W DIVISION ST,23,2016,7,2256,2161,0,0,0,0,0
2329 W DIVISION ST,23,2016,8,2256,2161,0,0,0,0,0
2329 W DIVISION ST,24,2016,9,2351,2253,92,3,2,2,0
2329 W DIVISION ST,25,2016,10,2443,2335,82,10,8,2,1
2329 W DIVISION ST,26,2016,11,2496,2387,52,1,1,1,0
2329 W DIVISION ST,27,2016,12,2548,2435,48,4,4,3,1
2329 W DIVISION ST,28,2017,1,2574,2460,25,1,1,1,0
2329 W DIVISION ST,29,2017,2,2615,2496,36,5,4,1,0
2329 W DIVISION ST,30,2017,3,2686,2563,67,4,3,3,1
2329 W DIVISION ST,31,2017,4,2722,2598,35,1,1,0,0
2329 W DIVISION ST,32,2017,5,2768,2643,45,1,1,1,0
2329 W DIVISION ST,33,2017,6,2800,2673,30,2,1,0,0
2329 W DIVISION ST,33,2017,7,2800,2673,0,0,0,0,0
2329 W DIVISION ST,33,2017,8,2800,2673,0,0,0,0,0
2329 W DIVISION ST,34,2017,9,2877,2747,74,3,2,2,1
2329 W DIVISION ST,35,2017,10,2928,2791,44,7,4,2,0
2329 W DIVISION ST,36,2017,11,2966,2826,35,3,3,3,0
2329 W DIVISION ST,37,2017,12,3000,2857,31,3,2,2,0
2329 W DIVISION ST,38,2018,1,3038,2892,35,3,2,2,0
2329 W DIVISION ST,39,2018,2,3074,2925,33,3,2,2,0
2329 W DIVISION ST,40,2018,3,3136,2983,58,4,3,3,1
2329 W DIVISION ST,41,2018,4,3199,3045,62,1,1,1,0
2329 W DIVISION ST,41,2018,5,3199,3045,0,0,0,0,0
2335 W CERMAK RD,1,2014,4,25,24,24,1,1,1,1
2335 W CERMAK RD,2,2014,5,114,107,83,6,6,6,3
2335 W CERMAK RD,3,2014,6,153,146,39,0,0,0,0
2335 W CERMAK RD,3,2014,7,153,146,0,0,0,0,0
